text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
nickker,nigger,racial / ethnic slurs,3.0,Severe,nickker
b1tchin,bitch,other / general insult,1.2,Mild,b1tchin
n0bj0cky,knob,sexual anatomy / sexual acts,2.4,Strong,n0bj0cky
f@gs,faggot,sexual orientation / gender,3.0,Severe,f@gs
arse,arse,sexual anatomy / sexual acts,1.0,Mild,arse
pedoz,pedophile,sexual anatomy / sexual acts,2.0,Strong,pedoz
m0fo,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m0fo
muffindivin,muff,sexual anatomy / sexual acts,1.8,Strong,muffindivin
m0f0s,motherfucker,other / general insult,2.4,Strong,m0f0s
cocksuccer,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccer
anus,anus,sexual anatomy / sexual acts,1.0,Mild,anus
5kank,skank,sexual orientation / gender,2.0,Strong,5kank
gay bitch,gay,sexual orientation / gender,2.6,Severe,gaybitch
arse gobbler,arse,sexual anatomy / sexual acts,2.0,Strong,arsegobbler
fcukers,fuck,sexual anatomy / sexual acts,2.2,Strong,fcukers
dikhead,dick,sexual anatomy / sexual acts,1.6,Strong,dikhead
sonz of bitchez,bitch,other / general insult,1.8,Strong,sonzbitchez
zipperhead,zipperhead,racial / ethnic slurs,2.4,Strong,zipperhead
apeshite,ape,bodily fluids / excrement,1.4,Mild,apeshite
0rgasms,orgasm,sexual anatomy / sexual acts,1.0,Mild,0rgasms
beyoch,bitch,sexual orientation / gender,1.2,Mild,beyoch
shit fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,shitfucker
homos,homosexual,sexual orientation / gender,2.2,Strong,homos
knobheads,knob,sexual anatomy / sexual acts,1.6,Strong,knobheads
n1gg3r,nigger,racial / ethnic slurs,3.0,Severe,n1gg3r
vajayjay,vagina,sexual anatomy / sexual acts,1.2,Mild,vajayjay
ass muncher,ass,sexual anatomy / sexual acts,2.2,Strong,assmuncher
gaylords,gay,sexual orientation / gender,2.2,Strong,gaylords
pack my fudge,fudge packer,sexual anatomy / sexual acts,2.0,Strong,packfudge
shitbird,shit,bodily fluids / excrement,1.8,Strong,shitbird
shytfeisterfuck,fuck,sexual anatomy / sexual acts,2.6,Severe,shytfeisterfuck
stupid hoe,hoe,sexual orientation / gender,2.4,Strong,stupidhoe
bitcher,bitch,sexual orientation / gender,1.4,Mild,bitcher
mothercker,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mothercker
skank,skank,sexual orientation / gender,1.8,Strong,skank
face fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,facefuck
finger,finger,sexual anatomy / sexual acts,1.0,Mild,finger
fucktards,fuck,sexual anatomy / sexual acts,2.6,Severe,fucktards
dolt,dolt,mental disability,1.0,Mild,dolt
knobgobbler,knob,sexual anatomy / sexual acts,1.8,Strong,knobgobbler
shitefuck,fuck,sexual anatomy / sexual acts,1.6,Strong,shitefuck
Tranny,tranny,sexual orientation / gender,2.8,Severe,Tranny
bitchness,bitch,sexual orientation / gender,1.6,Strong,bitchness
cocsuck,cock,sexual anatomy / sexual acts,2.0,Strong,cocsuck
shitfaced,shit,bodily fluids / excrement,1.2,Mild,shitfaced
nigguhz,nigger,racial / ethnic slurs,3.0,Severe,nigguhz
fuckwad,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckwad
d0ggy style,doggy style,sexual anatomy / sexual acts,1.8,Strong,d0ggystyle
jewboy,jew,racial / ethnic slurs,2.8,Severe,jewboy
sh!+,shit,bodily fluids / excrement,1.0,Mild,sh!+
cuntlickers,cunt,sexual anatomy / sexual acts,2.6,Severe,cuntlickers
butthole,butt,sexual anatomy / sexual acts,1.2,Mild,butthole
fag0t,faggot,sexual orientation / gender,3.0,Severe,fag0t
batshit,shit,bodily fluids / excrement,1.0,Mild,batshit
pigshit,shit,bodily fluids / excrement,1.4,Mild,pigshit
Jack off,jackoff,sexual anatomy / sexual acts,1.4,Mild,Jack
negga,nigger,racial / ethnic slurs,2.8,Severe,negga
